id_buku,judul_buku,penulis,tahun_rilis
343,Perfume: The Story of a Murderer,"Patrick Süskind, John E. Woods",1985.0
348,The Door Into Summer,Robert A. Heinlein,1957.0
350,Stranger in a Strange Land,Robert A. Heinlein,1961.0
353,Time Enough for Love,Robert A. Heinlein,1973.0
355,Job: A Comedy of Justice,Robert A. Heinlein,1984.0
357,"The Long Dark Tea-Time of the Soul (Dirk Gently, #2)",Douglas Adams,1988.0
359,"The Salmon of Doubt (Dirk Gently, #3)",Douglas Adams,2002.0
360,"Mostly Harmless (Hitchhiker's Guide to the Galaxy, #5)",Douglas Adams,1992.0
365,Dirk Gently's Holistic Detective Agency (Dirk Gently #1),Douglas Adams,1987.0
378,The Phantom Tollbooth,"Norton Juster, Jules Feiffer",1961.0
386,Another Bullshit Night in Suck City,Nick Flynn,2004.0
400,Libra,Don DeLillo,1988.0
415,Gravity's Rainbow,Thomas Pynchon,1973.0
424,Slouching Towards Bethlehem,Joan Didion,1968.0
428,Play It as It Lays,"Joan Didion, David Thomson",1970.0
431,The New York Trilogy,"Paul Auster, Art Spiegelman",1987.0
432,"City of Glass (The New York Trilogy, #1)",Paul Auster,1985.0
446,The Brooklyn Follies,Paul Auster,2005.0
447,Moon Palace,Paul Auster,1989.0
449,Timbuktu,Paul Auster,1999.0
456,Leviathan,Paul Auster,1992.0
475,Collapse: How Societies Choose to Fail or Succeed,Jared Diamond,2004.0
597,Killing Yourself to Live: 85% of a True Story,Chuck Klosterman,2005.0
599,"Sex, Drugs, and Cocoa Puffs: A Low Culture Manifesto",Chuck Klosterman,2003.0
621,The Automatic Millionaire: A Powerful One-Step Plan to Live and Finish Rich,David Bach,2003.0
629,Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values,Robert M. Pirsig,1974.0
647,No Logo,Naomi Klein,1999.0
656,War and Peace,"Leo Tolstoy, Henry Gifford, Aylmer Maude, Louise Maude",1869.0
662,Atlas Shrugged,"Ayn Rand, Leonard Peikoff",1957.0
665,The Virtue of Selfishness: A New Concept of Egoism,"Ayn Rand, Nathaniel Branden",1961.0
667,Anthem,Ayn Rand,1938.0
668,We the Living,"Ayn Rand, Leonard Peikoff",1936.0
676,Sailing Alone Around the Room: New and Selected Poems,Billy Collins,2001.0
698,Digging to America,Anne Tyler,2006.0
703,The Plot Against America,Philip Roth,2004.0
706,America (The Book): A Citizen's Guide to Democracy Inaction,"Jon Stewart, Ben Karlin, David Javerbaum, Rich Bloomquist, Steve Bodow, Tim Carvell, Eric Drysdale, J.R. Havlan, Scott Jacobson, Tom Johnson, Rob Kutner, Chris Regan, Jason Reich, Jason Ross, Stephen Colbert, Samantha Bee, Rob Corddry, Brendan Hay, Ed Helms",2004.0
760,Memories of My Melancholy Whores,"Gabriel García Márquez, Edith Grossman",2004.0
771,"The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory",Brian Greene,1999.0
816,Cryptonomicon,Neal Stephenson,1999.0
822,"The Confusion (The Baroque Cycle, #2)",Neal Stephenson,2004.0
823,"Quicksilver (The Baroque Cycle, #1)",Neal Stephenson,2003.0
825,Zodiac,Neal Stephenson,1988.0
827,"The Diamond Age: or, A Young Lady's Illustrated Primer",Neal Stephenson,1995.0
830,Snow Crash,Neal Stephenson,1992.0
840,The Design of Everyday Things,Donald A. Norman,1988.0
865,The Alchemist,"Paulo Coelho, Alan R. Clarke",1988.0
870,"Fullmetal Alchemist, Vol. 1 (Fullmetal Alchemist, #1)","Hiromu Arakawa, Akira Watanabe",2002.0
880,Pompeii,Robert   Harris,2003.0
890,Of Mice and Men,John Steinbeck,1937.0
900,The Game: Penetrating the Secret Society of Pickup Artists,Neil Strauss,2005.0
902,The Westing Game,Ellen Raskin,1978.0
903,"The Egypt Game (Game, #1)",Zilpha Keatley Snyder,1967.0
930,Memoirs of a Geisha,Arthur Golden,1997.0
952,The Five Love Languages of Children,"Gary Chapman, D. Ross Campbell",1995.0
960,"Angels & Demons  (Robert Langdon, #1)",Dan Brown,2000.0
968,"The Da Vinci Code (Robert Langdon, #2)",Dan Brown,2003.0
976,Deception Point,Dan Brown,2001.0
998,The Millionaire Next Door: The Surprising Secrets of Americas Wealthy,"Thomas J. Stanley, William D. Danko",1995.0
1005,Think and Grow Rich: The Landmark Bestseller - Now Revised and Updated for the 21st Century,Napoleon Hill,1937.0
1032,Trump: The Art of the Deal,"Donald J. Trump, Tony Schwartz",1987.0
1052,The Richest Man in Babylon,George S. Clason,1926.0
1067,1776,David McCullough,2005.0
1078,"The Good Earth (House of Earth, #1)",Pearl S. Buck,1931.0
1097,Fast Food Nation: The Dark Side of the All-American Meal,Eric Schlosser,2001.0
1103,Snow Flower and the Secret Fan,Lisa See,2005.0
1110,The Broker,John Grisham,2005.0
1171,Liar's Poker,Michael   Lewis,1989.0
1191,Giada's Family Dinners,"Giada De Laurentiis, Victoria Pearson",2006.0
1192,Everyday Italian: 125 Simple and Delicious Recipes,Giada De Laurentiis,2005.0
1202,"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)","Steven D. Levitt, Stephen J. Dubner",2005.0
1232,"The Shadow of the Wind (The Cemetery of Forgotten Books,  #1)","Carlos Ruiz Zafón, Lucia Graves",2001.0
1241,A Million Little Pieces,James Frey,2003.0
1274,"Men Are from Mars, Women Are from Venus",John Gray,1998.0
1295,"The Clan of the Cave Bear (Earth's Children, #1)",Jean M. Auel,1980.0
1301,Moneyball: The Art of Winning an Unfair Game,Michael   Lewis,2003.0
1303,The 48 Laws of Power,"Robert Greene, Joost Elffers",1988.0
1305,Gates of Fire: An Epic Novel of the Battle of Thermopylae,Steven Pressfield,1998.0
1307,"Fire Sea (The Death Gate Cycle, #3)","Margaret Weis, Tracy Hickman",1991.0
1319,The War of Art: Break Through the Blocks & Win Your Inner Creative Battles,"Steven Pressfield, Robert McKee",2002.0
1362,The Histories,"Herodotus, Aubrey de Sélincourt, John M. Marincola",-440.0
1371,The Iliad,"Homer, Robert Fagles, Frédéric Mugler, Bernard Knox",-750.0
1375,The Iliad/The Odyssey,"Homer, Robert Fagles, Bernard Knox",-762.0
1381,The Odyssey,"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",-720.0
1420,Hamlet,"William Shakespeare, Richard Andrews, Rex Gibson",1600.0
1426,Warrior of the Light,Paulo Coelho,1997.0
1427,The Zahir,"Paulo Coelho, Margaret Jull Costa",2005.0
1428,By the River Piedra I Sat Down and Wept,"Paulo Coelho, Alan R. Clarke",1994.0
1430,Eleven Minutes,"Paulo Coelho, Margaret Jull Costa",2003.0
1431,Veronika Decides to Die,"Paulo Coelho, Margaret Jull Costa",1998.0
1519,"The Oresteia  (Ορέστεια, #1-3)","Aeschylus, Robert Fagles, William Bedell Stanford",-458.0
1524,"Agamemnon (Oresteia, #1)","Aeschylus, Judith Affleck, Philip de May, Patricia E. Easterling, John     Harrison",-458.0
1540,"The Oedipus Cycle: Oedipus Rex/Oedipus at Colonus/Antigone (The Theban Plays, #1–3)","Sophocles, Dudley Fitts, Elena Bono, Robert Fitzgerald",-401.0
1554,"Oedipus Rex  (The Theban Plays, #1)","Sophocles, J.E. Thomas",-430.0
1591,Lysistrata,"Aristophanes, Sarah Ruden",-411.0
1617,Night (The Night Trilogy #1),"Elie Wiesel, Marion Wiesel",1958.0
1618,The Curious Incident of the Dog in the Night-Time,Mark Haddon,2003.0
1622,A Midsummer Night's Dream,"William Shakespeare, Barbara A. Mowat, Paul Werstine, Catherine Belsey",1595.0
1624,West with the Night,Beryl Markham,1942.0
1625,Twelfth Night,William Shakespeare,1601.0
1627,Brokeback Mountain,Annie Proulx,1997.0
1633,Getting Things Done: The Art of Stress-Free Productivity,David    Allen,2001.0
1635,Execution: The Discipline of Getting Things Done,"Larry Bossidy, Ram Charan, Charles Burck",2009.0
1715,Metamorphoses,"Ovid, David Raeburn, Denis Feeney",8.0
1823,Them: Adventures with Extremists,Jon Ronson,2001.0
1824,The Men Who Stare at Goats,Jon Ronson,2004.0
1842,"Guns, Germs, and Steel: The Fates of Human Societies",Jared Diamond,1997.0
1845,Into the Wild,Jon Krakauer,1996.0
1846,Wild at Heart: Discovering the Secret of a Man's Soul,John Eldredge,2001.0
1848,Wild Swans: Three Daughters of China,Jung Chang,1991.0
1849,"Wild Fire (John Corey, #4)",Nelson DeMille,2006.0
1852,The Call of the Wild,Jack London,1903.0
1869,Nickel and Dimed: On (Not) Getting By in America,Barbara Ehrenreich,2001.0
1875,"The History of Sexuality, Volume 1: An Introduction","Michel Foucault, Robert Hurley",1976.0
1885,Pride and Prejudice,Jane Austen,1813.0
1897,Eiger Dreams: Ventures Among Men and Mountains,Jon Krakauer,1990.0
1898,Into Thin Air: A Personal Account of the Mount Everest Disaster,Jon Krakauer,1997.0
1911,The World Is Flat: A Brief History of the Twenty-first Century,Thomas L. Friedman,2005.0
1934,"Little Women (Little Women, #1)",Louisa May Alcott,1868.0
1953,A Tale of Two Cities,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",1859.0
1990,Martin Chuzzlewit,"Charles Dickens, Patricia Ingham, Hablot Knight Browne",1844.0
2002,Harry Potter Schoolbooks Box Set: Two Classic Books from the Library of Hogwarts School of Witchcraft and Wizardry,J.K. Rowling,2001.0
2049,"The High Window (Philip Marlowe, #3)",Raymond Chandler,1942.0
2050,"Farewell, My Lovely (Philip Marlowe, #2)",Raymond Chandler,1940.0
2052,"The Big Sleep (Philip Marlowe, #1)",Raymond Chandler,1939.0
2054,"The Long Goodbye (Philip Marlowe, #6)",Raymond Chandler,1953.0
2067,Breaking the Spell: Religion as a Natural Phenomenon,Daniel C. Dennett,2006.0
2068,Darwin's Dangerous Idea: Evolution and the Meanings of Life,Daniel C. Dennett,1995.0
2094,A Briefer History of Time,"Stephen Hawking, Leonard Mlodinow",2005.0
2095,The Universe in a Nutshell,Stephen Hawking,2001.0
2122,The Fountainhead,"Ayn Rand, Leonard Peikoff",1943.0
2137,A Home at the End of the World,Michael Cunningham,1990.0
2142,Blink,Ted Dekker,2002.0
2152,The Jane Austen Book Club,Karen Joy Fowler,2004.0
2156,Persuasion,"Jane Austen, James Kinsley, Deidre Shauna Lynch",1817.0
2159,Confessions of an Economic Hit Man,John Perkins,2004.0
2165,The Old Man and the Sea,Ernest Hemingway,1952.0
2175,Madame Bovary,"Gustave Flaubert, Margaret Mauldon, Malcolm Bowie, Mark Overstall",1856.0
2183,Sentimental Education,"Gustave Flaubert, Robert Baldick, Geoffrey Wall",1869.0
2187,Middlesex,Jeffrey Eugenides,2002.0
2199,Team of Rivals: The Political Genius of Abraham Lincoln,"Doris Kearns Goodwin, Suzanne Toren",2005.0
2203,John Adams,David McCullough,2001.0
2255,Way of the Peaceful Warrior: A Book That Changes Lives,Dan Millman,1980.0
2265,It's Not About the Bike: My Journey Back to Life,"Lance Armstrong, Sally Jenkins",1999.0
2279,Truman,David McCullough,1992.0
2368,Mornings on Horseback,David McCullough,1981.0
2371,The Johnstown Flood,David McCullough,1968.0
2372,"The Path Between the Seas: The Creation of the Panama Canal, 1870-1914",David McCullough,1977.0
2373,"The Bone Collector (Lincoln Rhyme, #1)",Jeffery Deaver,1997.0
2430,The List,Steve Martini,1997.0
2442,"Witches Abroad (Discworld, #12; Witches #3)",Terry Pratchett,1991.0
2493,The Time Machine,"H.G. Wells, Greg Bear, Carlo Pagetti",1895.0
2517,My Name is Red,"Orhan Pamuk, Erdağ M. Göknar",1998.0
2526,Blindness,"José Saramago, Giovanni Pontiero",1995.0
2528,All the Names,"José Saramago, Margaret Jull Costa",1997.0
2530,Baltasar and Blimunda,"José Saramago, Giovanni Pontiero",1982.0
2547,The Prophet,Kahlil Gibran,1923.0
2612,The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,2000.0
2615,The Innovator's Dilemma: The Revolutionary Book that Will Change the Way You Do Business (Collins Business Essentials),Clayton M. Christensen,1997.0
2623,Great Expectations,Charles Dickens,1860.0
2657,To Kill a Mockingbird,Harper Lee,1960.0
2666,The Bonfire of the Vanities,Tom Wolfe,1987.0
2677,A Modest Proposal and Other Satirical Works,Jonathan Swift,1729.0
2696,The Canterbury Tales,"Geoffrey Chaucer, Nevill Coghill",1390.0
2715,Salt: A World History,Mark Kurlansky,2002.0
2743,The Lost Boy (Dave Pelzer #2),Dave Pelzer,1997.0
2744,Anansi Boys,Neil Gaiman,2005.0
2748,Microserfs,Douglas Coupland,1995.0
2767,A People's History of the United States,Howard Zinn,1980.0
2784,Ways of Seeing,John Berger,1972.0
2794,The Crying of Lot 49,Thomas Pynchon,1966.0
2839,Bridge to Terabithia,Katherine Paterson,1977.0
2865,Girl with a Pearl Earring,Tracy Chevalier,1999.0
2872,Falling Angels,Tracy Chevalier,2001.0
2873,The Virgin Blue,Tracy Chevalier,1997.0
2879,"Bleach, Volume 15",Tite Kubo,2004.0
2880,"Bleach, Volume 01",Tite Kubo,2002.0
2915,"The River (Brian's Saga, #2)",Gary Paulsen,1991.0
2932,Robinson Crusoe,"Daniel Defoe, Gerald McCann, Virginia Woolf",1719.0
2956,The Adventures of Huckleberry Finn,"Mark Twain, John Seelye, Guy Cardwell",1884.0
2978,Lost Horizon,James Hilton,1933.0
2998,The Secret Garden,Frances Hodgson Burnett,1911.0
3008,A Little Princess,"Frances Hodgson Burnett, Nancy Bond",1905.0
3028,Economics in One Lesson: The Shortest & Surest Way to Understand Basic Economics,Henry Hazlitt,1946.0
3049,Sir Gawain and the Green Knight ,"Unknown, Burton Raffel, Neil D. Isaacs",1390.0
3061,The Natural Way to Draw,"Kimon Nicolaides, Mamie Harmon",1941.0
3087,A Room with a View,E.M. Forster,1908.0
3102,Howards End,E.M. Forster,1910.0
3103,Maurice,E.M. Forster,1971.0
3109,The Omnivore's Dilemma: A Natural History of Four Meals,Michael Pollan,2006.0
3110,Assassination Vacation,Sarah Vowell,2005.0
3273,Moloka'i,Alan Brennert,2003.0
3291,The Stories of Eva Luna,Isabel Allende,1988.0
3300,Inés of My Soul,"Isabel Allende, Margaret Sayers Peden",2006.0
3304,"City of the Beasts (Eagle and Jaguar, #1)","Isabel Allende, Margaret Sayers Peden",2002.0
3368,Don't Make Me Think: A Common Sense Approach to Web Usability,Steve Krug,2000.0
3378,Generation X: Tales for an Accelerated Culture,Douglas Coupland,1991.0
3379,All Families are Psychotic,Douglas Coupland,2001.0
3381,Hey Nostradamus!,Douglas Coupland,2003.0
3384,Girlfriend in a Coma,Douglas Coupland,1998.0
3388,Corelli's Mandolin,Louis de Bernières,1994.0
3412,The Thorn Birds,Colleen McCullough,1977.0
3431,The Five People You Meet in Heaven,Mitch Albom,2003.0
3446,Going After Cacciato,Tim O'Brien,1978.0
3447,In the Lake of the Woods,Tim O'Brien,1994.0
3462,The Rescue,Nicholas Sparks,2000.0
3463,A Bend in the Road,Nicholas Sparks,2001.0
3464,"True Believer (Jeremy Marsh & Lexie Darnell, #1)",Nicholas Sparks,2003.0
3465,Three Weeks With My Brother,"Nicholas Sparks, Micah Sparks",2004.0
3466,"The Wedding (The Notebook, #2)",Nicholas Sparks,2003.0
3467,"The People of Sparks (Book of Ember, #2)",Jeanne DuPrau,2004.0
3473,A Walk to Remember,Nicholas Sparks,1999.0
3476,Icy Sparks,Gwyn Hyman Rubio,1998.0
3478,Message in a Bottle,Nicholas Sparks,1998.0
3483,Special Topics in Calamity Physics,Marisha Pessl,2006.0
3507,"Twelve Sharp (Stephanie Plum, #12)",Janet Evanovich,2006.0
3559,From Beirut to Jerusalem,Thomas L. Friedman,1989.0
3562,"Emily of New Moon (Emily, #1)",L.M. Montgomery,1923.0
3579,"The Complete Anne of Green Gables Boxed Set (Anne of Green Gables, #1-8)",L.M. Montgomery,1908.0
3581,"Sherlock Holmes: The Complete Novels and Stories, Volume I",Arthur Conan Doyle,1927.0
3586,"The Complete Sherlock Holmes, Vol 2","Arthur Conan Doyle, Kyle Freeman",1914.0
3590,The Adventures of Sherlock Holmes,Arthur Conan Doyle,1892.0
3636,"The Giver (The Giver, #1)",Lois Lowry,1993.0
3648,The Emperor's Children,Claire Messud,2006.0
3656,The Sea,John Banville,2005.0
3679,On Beauty,Zadie Smith,2005.0
3682,"A Great and Terrible Beauty (Gemma Doyle, #1)",Libba Bray,2003.0
3685,Black Beauty,Anna Sewell,1877.0
3686,Truth and Beauty,Ann Patchett,2004.0
3690,The Power and the Glory,"Graham Greene, John Updike",1940.0
3692,The Heart of the Matter,Graham Greene,1948.0
3698,The Quiet American,"Graham Greene, Robert  Stone",1955.0
3710,The Autograph Man,Zadie Smith,2002.0
3711,White Teeth,Zadie Smith,1999.0
3717,Stranger than Fiction,Chuck Palahniuk,2004.0
3750,"Moonraker (James Bond, #3)",Ian Fleming,1955.0
3757,"Doctor No (James Bond, #6)",Ian Fleming,1958.0
3758,"Casino Royale (James Bond, #1)",Ian Fleming,1953.0
3759,"Goldfinger (James Bond, #7)",Ian Fleming,1959.0
3760,"Diamonds Are Forever (James Bond, #4)",Ian Fleming,1956.0
3762,"On Her Majesty's Secret Service (James Bond, #11)",Ian Fleming,1963.0
3763,"Live and Let Die (James Bond, #2)",Ian Fleming,1954.0
3764,"From Russia With Love (James Bond, #5)",Ian Fleming,1957.0
3805,The Corrections,Jonathan Franzen,2001.0
3832,Cover Her Face (Adam Dalgliesh #1),P.D. James,1962.0
3836,Don Quixote,"Miguel de Cervantes Saavedra, Roberto González Echevarría, John Rutherford",1605.0
3858,Holy Cow: An Indian Adventure,Sarah Macdonald,2002.0
3867,The History of Love,Nicole Krauss,2005.0
3869,A Brief History of Time,"Stephen Hawking, Cao Chi, Phạm Văn Thiều",1987.0
3872,A History of the World in 6 Glasses,Tom Standage,2005.0
3873,"A History of God: The 4,000-Year Quest of Judaism, Christianity, and Islam",Karen Armstrong,1975.0
3876,The Sun Also Rises,Ernest Hemingway,1926.0
3882,Rachael Ray 365: No Repeats: A Year of Deliciously Different Dinners,Rachael Ray,2005.0
3885,The Taste of Home Cookbook,"Janet Briggs, Beth Wittlinger",2006.0
3888,The America's Test Kitchen Family Cookbook,"America's Test Kitchen, Carl Tremblay, Daniel J. Van Ackere",2005.0
3895,The Barefoot Contessa Cookbook,"Ina Garten, Melanie Acevedo",1999.0
3972,"Olympos (Ilium, #2)",Dan Simmons,2005.0
3973,"Ilium (Ilium, #1)",Dan Simmons,2003.0
3974,The Terror,Dan Simmons,2007.0
3977,"Endymion (Hyperion Cantos, #3)",Dan Simmons,1996.0
3980,From the Mixed-Up Files of Mrs. Basil E. Frankweiler,E.L. Konigsburg,1967.0
3985,The Amazing Adventures of Kavalier & Clay,Michael Chabon,2000.0
4004,The Pilgrimage,"Paulo Coelho, Alan R. Clarke",1987.0
4005,The Fifth Mountain,Paulo Coelho,1996.0
4006,The Valkyries,"Paulo Coelho, Alan R. Clarke",1988.0
4008,"The Devil and Miss Prym (On the Seventh Day, #3)","Paulo Coelho, Amanda Hopkinson, Nick Caistor",2000.0
4009,Nine Stories,J.D. Salinger,1953.0
4031,Lunar Park,Bret Easton Ellis,2005.0
4035,The Burden of Proof,Scott Turow,1990.0
4069,Man's Search for Meaning,Viktor E. Frankl,1946.0
4076,In Search of Excellence: Lessons from America's Best-Run Companies,"Tom Peters, Robert H. Waterman Jr.",1982.0
4099,The Pragmatic Programmer: From Journeyman to Master,"Andrew Hunt, Dave Thomas",1999.0
4122,Built to Last: Successful Habits of Visionary Companies,"James C. Collins, Jerry I. Porras",1994.0
4135,I Like You: Hospitality Under the Influence,Amy Sedaris,2006.0
4136,Holidays on Ice,David Sedaris,1997.0
4137,Me Talk Pretty One Day,David Sedaris,2000.0
4138,Naked,David Sedaris,1997.0
4143,Barrel Fever: Stories and Essays,David Sedaris,1994.0
4214,Life of Pi,Yann Martel,2001.0
4261,Songbook,Nick Hornby,2003.0
4264,Fever Pitch,Nick Hornby,1992.0
4268,How to Be Good,Nick Hornby,2001.0
4271,About a Boy,Nick Hornby,1998.0
4325,Dreamland,Sarah Dessen,2000.0
4339,Dispatches,Michael Herr,1977.0
4364,Maximum City: Bombay Lost and Found,Suketu Mehta,2004.0
4373,First They Killed My Father: A Daughter of Cambodia Remembers,Loung Ung,2000.0
4381,Fahrenheit 451,Ray Bradbury,1953.0
4395,The Grapes of Wrath,John Steinbeck,1939.0
4406,East of Eden,John Steinbeck,1952.0
4407,"American Gods (American Gods, #1)",Neil Gaiman,2001.0
4473,A Prayer for Owen Meany,John Irving,1989.0
4477,Complications: A Surgeon's Notes on an Imperfect Science,"Atul Gawande, Susanne Kuhlmann-Krieg",2002.0
4507,Sickened: The Memoir of a Munchausen by Proxy Childhood,Julie Gregory,2003.0
4516,Marina,Carlos Ruiz Zafón,1999.0
4530,Olivia Joules and the Overactive Imagination,Helen Fielding,2003.0
4538,The View from Saturday,E.L. Konigsburg,1996.0
4588,Extremely Loud and Incredibly Close,Jonathan Safran Foer,2005.0
4591,Genome: the Autobiography of a Species in 23 Chapters,Matt Ridley,1999.0
4599,Carter Beats the Devil,Glen David Gold,2001.0
4600,"Moo, Baa, La La La!",Sandra Boynton,1982.0
4625,The Complete Short Stories,Ernest Hemingway,1925.0
4630,To Have and Have Not,Ernest Hemingway,1937.0
4631,A Moveable Feast,Ernest Hemingway,1964.0
4633,Islands in the Stream,Ernest Hemingway,1970.0
4645,The Snows of Kilimanjaro and Other Stories,Ernest Hemingway,1938.0
4652,In Our Time,Ernest Hemingway,1925.0
4656,The Fourth Hand,John Irving,2001.0
4657,The Water-Method Man,John Irving,1972.0
4659,A Widow for One Year,John Irving,1998.0
4660,The 158-Pound Marriage,John Irving,1974.0
4662,The Short Stories,"F. Scott Fitzgerald, Matthew J. Bruccoli",1920.0
4671,The Great Gatsby,F. Scott Fitzgerald,1925.0
4687,The Cider House Rules,John Irving,1985.0
4692,"The Physician (Cole Family Trilogy, #1)",Noah Gordon,1986.0
4701,A Spot of Bother,Mark Haddon,2006.0
4708,The Beautiful and Damned,F. Scott Fitzgerald,1922.0
4796,The Winter of Our Discontent,"John Steinbeck, Susan Shillinglaw",1961.0
4799,Cannery Row,John Steinbeck,1945.0
4806,Longitude: The True Story of a Lone Genius Who Solved the Greatest Scientific Problem of His Time,"Dava Sobel, Neil Armstrong",1995.0
4813,1421: The Year China Discovered America,Gavin Menzies,2002.0
4820,"Mayflower: A Story of Courage, Community, and War",Nathaniel Philbrick,2006.0
4830,Shalimar the Clown,Salman Rushdie,2005.0
4835,"Haroun and the Sea of Stories (Khalifa Brothers, #1)","Salman Rushdie, Paul Birkbeck",1990.0
4865,How to Win Friends and Influence People,Dale Carnegie,1936.0
4866,How to Stop Worrying and Start Living,Dale Carnegie,1944.0
4887,The Drama of the Gifted Child: The Search for the True Self,"Alice  Miller, Ruth Ward",1979.0
4894,Who Moved My Cheese?,"Spencer Johnson, Kenneth H. Blanchard",1998.0
4898,Blue Ocean Strategy: How To Create Uncontested Market Space And Make The Competition Irrelevant,"W. Chan Kim, Renée Mauborgne",2004.0
4900,Heart of Darkness,Joseph Conrad,1899.0
4909,"Teacher Man (Frank McCourt, #3)",Frank McCourt,2005.0
4912,"'Tis (Frank McCourt, #2)",Frank McCourt,1999.0
4921,"Three Men in a Boat (Three Men, #1)",Jerome K. Jerome,1889.0
4929,Kafka on the Shore,"Haruki Murakami, Philip Gabriel",2002.0
4934,The Brothers Karamazov,"Fyodor Dostoyevsky, Richard Pevear, Larissa Volokhonsky",1880.0
4948,The Very Hungry Caterpillar Board Book,Eric Carle,1969.0
4950,The Hungry Tide,Amitav Ghosh,2004.0
4952,What Is the What,Dave Eggers,2006.0
4953,A Heartbreaking Work of Staggering Genius,Dave Eggers,2000.0
4954,You Shall Know Our Velocity!,Dave Eggers,2002.0
4955,How We Are Hungry,Dave Eggers,2005.0
4965,Year of Wonders,Geraldine Brooks,2001.0
4978,"Wolves of the Calla (The Dark Tower, #5)","Stephen King, Bernie Wrightson",2003.0
4979,A Man Without a Country,Kurt Vonnegut Jr.,2005.0
4980,Breakfast of Champions,Kurt Vonnegut Jr.,1973.0
4981,Slaughterhouse-Five,Kurt Vonnegut Jr.,1969.0
4982,The Sirens of Titan,Kurt Vonnegut Jr.,1959.0
4983,Kurt Vonnegut's Cat's Cradle (Modern Critical Interpretations),"Harold Bloom, Terry Southern, David H. Goldsmith, James Lundquist, Lawrence R. Broer, Peter J. Reed, Loree Rackstraw, William S. Doxey, Jerome Klinkowitz, Richard Giannone, John L. Simons, Leonard Mustazza, Zoltan Ab di-Nagy, Peter Freese, Wendy B. Faris",2002.0
4984,Bagombo Snuff Box,Kurt Vonnegut Jr.,1999.0
